date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
4/15/2021,de,82,625718,20IvMlpi4U5RuDnAlXSRiV,['Haftbefehl'],['german hip hop'],198746,FALSE,Crackküche
1/31/2019,jp,171,50896,0V1K6MU0utODk4yNqZKsFv,['Suchmos'],"['japanese r&b', 'j-rock', 'japanese soul', 'japanese alternative rock', 'j-pop']",408320,FALSE,WATER
11/15/2018,tr,59,185439,4qzZm5EIdFurBpDieEmVc9,['Nilipek.'],"['turkish singer-songwriter', 'turkish rock']",257142,FALSE,Gözleri Aşka Gülen
2/2/2023,co,98,233388,6vNhBzDn5yU2fu67YliSgw,"['Kalido', 'Totoy El Frio', 'HIT$ MUSIC']","['reggaeton colombiano', 'urbano latino']",161653,TRUE,Opciones
2/23/2017,hu,184,5389,1vWrdDoVve3adC23brWRke,"['Totova & Freddie Shuman', 'Begi Lotfi']",[],185806,FALSE,Hosszú Idők
11/16/2014,hk,148,4645,0N8PEQ33Ba841py3SEV0Wp,['Jay Chou'],"['taiwan pop', 'zhongguo feng', 'mandopop', 'c-pop']",280720,FALSE,愛你沒差
4/30/2015,fi,79,46227,6BIfloI765jfr51Se2xSdw,['SANNI'],"['finnish dance pop', 'finnish hip hop', 'finnish pop']",175720,FALSE,Soita mua (S&M)
12/3/2015,de,43,444549,5m4y68zsFwsix7ng4cLB1j,['Alligatoah'],['german pop'],238933,FALSE,Teamgeist
3/3/2022,eg,2,214039,5NcTOxzo2WE20tFdtUhbAM,['Marwan Pablo'],"['egyptian trap', 'egyptian hip hop']",156501,FALSE,BARBARY
11/3/2016,de,186,169363,3UPXsxC1h5bPuXhBMAcWo7,['DAT ADAM'],"['german cloud rap', 'deep german hip hop']",168573,FALSE,NEXTLEVELSHIT
2/23/2017,dk,125,76416,278flqoZwDROtHCn2KVBbq,['Suspekt'],"['danish pop', 'danish hip hop']",323186,TRUE,Pilgrim
4/28/2016,sg,157,18700,0YgvF6fNWydNGzCY3pzK4Y,['JJ Lin'],"['mandopop', 'singaporean mandopop', 'singaporean pop']",265000,FALSE,江南
9/7/2014,global,44,2858282,7GMeRGZax4uDKgz6wALWQw,['Maroon 5'],['pop'],239920,FALSE,It Was Always You
5/23/2019,br,168,514860,4jGzR5Vri06Y5T9SxM7m5P,"['Xand Avião', 'Gusttavo Lima']","['arrocha', 'funk carioca', 'forro de favela', 'sertanejo', 'sertanejo universitario']",231680,FALSE,Algo Mais (Amante) - Ao Vivo
9/30/2021,il,17,115655,3p8VuChjDae8lY7fx91Esy,['Ravid Plotnik'],"['israeli trap', 'israeli hip hop']",275688,FALSE,גולם
11/3/2022,in,191,738321,39lwTKgwElmhkUlppFH8AR,"['Imdad Hussain', 'RDRKSH', 'Deep Joshi']",['indian lo-fi'],52974,FALSE,Khudaya Khair
10/20/2013,gb,31,130559,6hEpJtKf1YDaIqRdjNCPFW,['John Newman'],['dance pop'],222218,FALSE,Cheating
5/14/2020,ca,163,220435,6xWqaVbmZJqEbUpFlIGiHK,['NAV'],"['trap', 'rap', 'hip hop', 'canadian trap', 'melodic rap', 'canadian hip hop', 'toronto rap']",134621,TRUE,Brown Boy
11/25/2021,nl,93,285353,7BvfnAXIk7LBrUvbSRXhjR,['Hef'],['dutch hip hop'],148053,FALSE,S.K.E.E.R.
10/8/2020,sk,19,53786,6tuyca2iIhPrORZkTOQNrZ,['Ego'],['czsk hip hop'],205293,FALSE,Milenky
10/15/2020,za,164,15965,2jZQxvy1T9iWl5u4Id53tp,"['Nomcebo Zikode', 'Bongo Beats']","['south african pop', 'afro soul']",246729,FALSE,Bayabuza
4/28/2022,it,116,404677,0LMKvOt3vDHYj5XGiOMDdZ,"['Fred De Palma', 'Emis Killa', 'Omar Montes', 'JVLI']","['italian pop', 'italian hip hop', 'flamenco urbano', 'urbano espanol']",153964,FALSE,"TUTTO QUELLO CHE HO (feat. Emis Killa, Omar Montes, JVLI)"
7/4/2019,br,135,608971,4NLfKIsRhP1cve1kcrYg40,['Gusttavo Lima'],"['sertanejo', 'sertanejo universitario', 'arrocha']",164053,FALSE,Online
2/15/2018,us,137,1671850,2Bv0MbaqYx2IrQa7Z6xBT0,['Rae Sremmurd'],"['mississippi hip hop', 'pop rap', 'trap', 'hip hop', 'southern hip hop', 'melodic rap', 'rap']",232862,TRUE,T'd Up
8/25/2016,se,187,97280,2NUlvZqTgkLl3YsWVMZ7vA,"['Grillat & Grändy', 'Mwuana', 'Sikai', 'Linda Pira', 'Jaqe', 'Ikhana']","['swedish trap', 'swedish trap pop', 'scandinavian r&b', 'swedish hip hop', 'swedish pop', 'swedish dancehall']",266802,FALSE,Kaliber - Remix
8/18/2016,de,128,191341,1QAvz1VWNFbZeRWSCFyew2,"['Coup', 'Haftbefehl', 'XATAR']","['kurdish hip hop', 'german underground rap', 'german hip hop', 'hamburg hip hop']",199853,FALSE,Kanack
